"","Species","a","b"
"209","Acontias litoralis",-4.207,2.3
"210","Acontias meleagris",-4.207,2.3
"211","Acontias namaquensis",-4.207,2.3
"212","Acontias occidentalis",-4.207,2.3
"213","Acontias orientalis",-4.207,2.3
"214","Acontias percivali",-4.207,2.3
"215","Acontias plumbeus",-4.207,2.3
"216","Acontias poecilus",-4.207,2.3
"217","Acontias richardi",-4.207,2.3
"218","Acontias rieppeli",-4.207,2.3
"219","Acontias schmitzi",-4.207,2.3
"220","Acontias tristis",-4.207,2.3
"221","Acratosaura mentalis",-5.178,3.302
"222","Acratosaura spinosa",-5.178,3.302
"223","Adercosaurus vixadnexus",-5.178,3.302
"224","Adolfus africanus",-4.543,2.951
"225","Adolfus alleni",-4.543,2.951
"226","Adolfus jacksoni",-4.543,2.951
"227","Adolfus masavaensis",-4.543,2.951
"228","Aeluroscalabotes felinus",-5.201,3.255
"229","Afroedura africana",-4.242,2.761
"230","Afroedura amatolica",-4.242,2.761
"231","Afroedura bogerti",-4.242,2.761
"232","Afroedura broadleyi",-4.242,2.761
"233","Afroedura gorongosa",-4.242,2.761
"234","Afroedura granitica",-4.242,2.761
"235","Afroedura haackei",-4.242,2.761
"236","Afroedura halli",-4.242,2.761
"237","Afroedura hawequensis",-4.242,2.761
"238","Afroedura karroica",-4.242,2.761
"239","Afroedura langi",-4.242,2.761
"240","Afroedura leoloensis",-4.242,2.761
"241","Afroedura loveridgei",-4.242,2.761
"242","Afroedura major",-4.242,2.761
"243","Afroedura maripi",-4.242,2.761
"244","Afroedura marleyi",-4.242,2.761
"245","Afroedura multiporis",-4.242,2.761
"246","Afroedura namaquensis",-4.242,2.761
"247","Afroedura nivaria",-4.242,2.761
"248","Afroedura pienaari",-4.242,2.761
"249","Afroedura pondolia",-4.242,2.761
"250","Afroedura pongola",-4.242,2.761
"251","Afroedura rondavelica",-4.242,2.761
"252","Afroedura rupestris",-4.242,2.761
"253","Afroedura tembulica",-4.242,2.761
"254","Afroedura tirasensis",-4.242,2.761
"255","Afroedura transvaalica",-4.242,2.761
"256","Afroedura waterbergensis",-4.242,2.761
"257","Afrogecko ansorgii",-4.242,2.761
"258","Afrogecko porphyreus",-4.242,2.761
"259","Agama aculeata",-4.686,3.105
"260","Agama africana",-4.686,3.105
"261","Agama agama",-4.686,3.105
"262","Agama anchietae",-4.686,3.105
"263","Agama armata",-4.686,3.105
"264","Agama atra",-4.686,3.105
"265","Agama bocourti",-4.686,3.105
"266","Agama boensis",-4.686,3.105
"267","Agama bottegi",-4.686,3.105
"268","Agama boueti",-4.686,3.105
"269","Agama boulengeri",-4.686,3.105
"270","Agama caudospinosa",-4.686,3.105
"271","Agama cristata",-4.686,3.105
"272","Agama doriae",-4.686,3.105
"273","Agama etoshae",-4.686,3.105
"274","Agama finchi",-4.686,3.105
"275","Agama gracilimembris",-4.686,3.105
"276","Agama hartmanni",-4.686,3.105
"277","Agama hispida",-4.686,3.105
"278","Agama hulbertorum",-4.686,3.105
"279","Agama impalearis",-4.686,3.105
"280","Agama insularis",-4.686,3.105
"281","Agama kaimosae",-4.686,3.105
"282","Agama kirkii",-4.686,3.105
"283","Agama knobeli",-4.686,3.105
"284","Agama lanzai",-4.686,3.105
"285","Agama lebretoni",-4.686,3.105
"286","Agama lionotus",-4.686,3.105
"287","Agama lucyae",-4.686,3.105
"288","Agama montana",-4.686,3.105
"289","Agama mossambica",-4.686,3.105
"290","Agama mucosoensis",-4.686,3.105
"291","Agama mwanzae",-4.686,3.105
"292","Agama parafricana",-4.686,3.105
"293","Agama paragama",-4.686,3.105
"294","Agama persimilis",-4.686,3.105
"295","Agama planiceps",-4.686,3.105
"296","Agama robecchii",-4.686,3.105
"297","Agama rueppelli",-4.686,3.105
"298","Agama sankaranica",-4.686,3.105
"299","Agama somalica",-4.686,3.105
"300","Agama spinosa",-4.686,3.105
"301","Agama sylvana",-4.686,3.105
"302","Agama tassiliensis",-4.686,3.105
"303","Agama turuensis",-4.686,3.105
"304","Agama weidholzi",-4.686,3.105
"305","Agamodon anguliceps",-5.858,2.943
"306","Agamodon arabicus",-5.858,2.943
"307","Agamodon compressus",-5.858,2.943
"308","Agamura persica",-4.242,2.761
"309","Ailuronyx seychellensis",-4.242,2.761
"310","Ailuronyx tachyscopaeus",-4.242,2.761
"311","Ailuronyx trachygaster",-4.242,2.761
"312","Alexandresaurus camacan",-5.178,3.302
"313","Algyroides fitzingeri",-4.543,2.951
"314","Algyroides marchi",-4.543,2.951
"315","Algyroides moreoticus",-4.543,2.951
"316","Algyroides nigropunctatus",-4.543,2.951
"317","Alinea lanceolata",-5.125,3.229
"318","Alinea luciae",-5.125,3.229
"319","Alopoglossus angulatus",-5.178,3.302
"320","Alopoglossus atriventris",-5.178,3.302
"321","Alopoglossus buckleyi",-5.178,3.302
"322","Alopoglossus copii",-5.178,3.302
"323","Alopoglossus embera",-5.178,3.302
"324","Alopoglossus festae",-5.178,3.302
"325","Alopoglossus lehmanni",-5.178,3.302
"326","Alopoglossus viridiceps",-5.178,3.302
"327","Alsophylax laevis",-4.242,2.761
"328","Alsophylax loricatus",-4.242,2.761
"329","Alsophylax pipiens",-4.242,2.761
"330","Alsophylax przewalskii",-4.242,2.761
"331","Alsophylax szczerbaki",-4.242,2.761
"332","Alsophylax tadjikiensis",-4.242,2.761
"333","Altiphylax baturensis",-4.242,2.761
"334","Altiphylax levitoni",-4.242,2.761
"335","Altiphylax mintoni",-4.242,2.761
"336","Altiphylax stoliczkai",-4.242,2.761
"337","Altiphylax tokobajevi",-4.242,2.761
"338","Amalosia jacovae",-4.804,3.057
"339","Amalosia lesueurii",-4.804,3.057
"340","Amalosia obscura",-4.804,3.057
"341","Amalosia rhombifer",-4.804,3.057
"342","Amapasaurus tetradactylus",-5.178,3.302
"343","Amblyrhynchus cristatus",-4.298,2.972
"344","Ameiva aggerecusans",-4.747,3.11
"345","Ameiva ameiva",-4.747,3.11
"346","Ameiva atrigularis",-4.747,3.11
"347","Ameiva bifrontata",-4.747,3.11
"348","Ameiva concolor",-4.747,3.11
"349","Ameiva fuliginosa",-4.747,3.11
"350","Ameiva jacuba",-4.747,3.11
"351","Ameiva nodam",-4.747,3.11
"352","Ameiva pantherina",-4.747,3.11
"353","Ameiva parecis",-4.747,3.11
"354","Ameiva praesignis",-4.747,3.11
"355","Ameiva provitaae",-4.747,3.11
"356","Ameiva reticulata",-4.747,3.11
"357","Ameivula abalosi",-4.747,3.11
"358","Ameivula apipensis",-4.747,3.11
"359","Ameivula cipoensis",-4.747,3.11
"360","Ameivula confusioniba",-4.747,3.11
"361","Ameivula jalapensis",-4.747,3.11
"362","Ameivula mumbuca",-4.747,3.11
"363","Ameivula nativo",-4.747,3.11
"364","Ameivula nigrigula",-4.747,3.11
"365","Ameivula ocellifera",-4.747,3.11
"366","Ameivula pyrrhogularis",-4.747,3.11
"367","Ameivula xacriaba",-4.747,3.11
"368","Amphibolurus burnsi",-4.686,3.105
"369","Amphibolurus centralis",-4.686,3.105
"370","Amphibolurus muricatus",-4.686,3.105
"371","Amphibolurus norrisi",-4.686,3.105
"372","Amphiglossus astrolabi",-5.125,3.229
"373","Amphiglossus reticulatus",-5.125,3.229
"374","Amphisbaena absaberi",-8.647,4.007
"375","Amphisbaena acrobeles",-8.647,4.007
"376","Amphisbaena alba",-8.647,4.007
"377","Amphisbaena albocingulata",-8.647,4.007
"378","Amphisbaena anaemariae",-8.647,4.007
"379","Amphisbaena angustifrons",-8.647,4.007
"380","Amphisbaena anomala",-8.647,4.007
"381","Amphisbaena arda",-8.647,4.007
"382","Amphisbaena arenaria",-8.647,4.007
"383","Amphisbaena bahiana",-8.647,4.007
"384","Amphisbaena bakeri",-8.647,4.007
"385","Amphisbaena barbouri",-8.647,4.007
"386","Amphisbaena bedai",-8.647,4.007
"387","Amphisbaena bilabialata",-8.647,4.007
"388","Amphisbaena bolivica",-8.647,4.007
"389","Amphisbaena borelli",-8.647,4.007
"390","Amphisbaena brasiliana",-8.647,4.007
"391","Amphisbaena brevis",-8.647,4.007
"392","Amphisbaena caeca",-8.647,4.007
"393","Amphisbaena caiari",-8.647,4.007
"394","Amphisbaena camura",-8.647,4.007
"395","Amphisbaena carlgansi",-8.647,4.007
"396","Amphisbaena carli",-8.647,4.007
"397","Amphisbaena carvalhoi",-8.647,4.007
"398","Amphisbaena caudalis",-8.647,4.007
"399","Amphisbaena cayemite",-8.647,4.007
"400","Amphisbaena cegei",-8.647,4.007
"401","Amphisbaena crisae",-8.647,4.007
"402","Amphisbaena cubana",-8.647,4.007
"403","Amphisbaena cuiabana",-8.647,4.007
"404","Amphisbaena cunhai",-8.647,4.007
"405","Amphisbaena darwinii",-8.647,4.007
"406","Amphisbaena dubia",-8.647,4.007
"407","Amphisbaena fenestrata",-8.647,4.007
"408","Amphisbaena filiformis",-8.647,4.007
"409","Amphisbaena frontalis",-8.647,4.007
"410","Amphisbaena fuliginosa",-8.647,4.007
"411","Amphisbaena gonavensis",-8.647,4.007
"412","Amphisbaena gracilis",-8.647,4.007
"413","Amphisbaena hastata",-8.647,4.007
"414","Amphisbaena heathi",-8.647,4.007
"415","Amphisbaena heterozonata",-8.647,4.007
"416","Amphisbaena hiata",-8.647,4.007
"417","Amphisbaena hogei",-8.647,4.007
"418","Amphisbaena hyporissor",-8.647,4.007
"419","Amphisbaena ibijara",-8.647,4.007
"420","Amphisbaena ignatiana",-8.647,4.007
"421","Amphisbaena innocens",-8.647,4.007
"422","Amphisbaena kingii",-8.647,4.007
"423","Amphisbaena kraoh",-8.647,4.007
"424","Amphisbaena leali",-8.647,4.007
"425","Amphisbaena leeseri",-8.647,4.007
"426","Amphisbaena leucocephala",-8.647,4.007
"427","Amphisbaena littoralis",-8.647,4.007
"428","Amphisbaena lumbricalis",-8.647,4.007
"429","Amphisbaena manni",-8.647,4.007
"430","Amphisbaena maranhensis",-8.647,4.007
"431","Amphisbaena medemi",-8.647,4.007
"432","Amphisbaena mensae",-8.647,4.007
"433","Amphisbaena mertensii",-8.647,4.007
"434","Amphisbaena metallurga",-8.647,4.007
"435","Amphisbaena miringoera",-8.647,4.007
"436","Amphisbaena mitchelli",-8.647,4.007
"437","Amphisbaena munoai",-8.647,4.007
"438","Amphisbaena myersi",-8.647,4.007
"439","Amphisbaena neglecta",-8.647,4.007
"440","Amphisbaena nigricauda",-8.647,4.007
"441","Amphisbaena occidentalis",-8.647,4.007
"442","Amphisbaena pericensis",-8.647,4.007
"443","Amphisbaena persephone",-8.647,4.007
"444","Amphisbaena plumbea",-8.647,4.007
"445","Amphisbaena polygrammica",-8.647,4.007
"446","Amphisbaena pretrei",-8.647,4.007
"447","Amphisbaena prunicolor",-8.647,4.007
"448","Amphisbaena ridleyi",-8.647,4.007
"449","Amphisbaena roberti",-8.647,4.007
"450","Amphisbaena rozei",-8.647,4.007
"451","Amphisbaena sanctaeritae",-8.647,4.007
"452","Amphisbaena saxosa",-8.647,4.007
"453","Amphisbaena schmidti",-8.647,4.007
"454","Amphisbaena silvestrii",-8.647,4.007
"455","Amphisbaena slateri",-8.647,4.007
"456","Amphisbaena slevini",-8.647,4.007
"457","Amphisbaena spurelli",-8.647,4.007
"458","Amphisbaena steindachneri",-8.647,4.007
"459","Amphisbaena stejnegeri",-8.647,4.007
"460","Amphisbaena supernumeraria",-8.647,4.007
"461","Amphisbaena talisiae",-8.647,4.007
"462","Amphisbaena townsendi",-8.647,4.007
"463","Amphisbaena trachura",-8.647,4.007
"464","Amphisbaena tragorrhectes",-8.647,4.007
"465","Amphisbaena uroxena",-8.647,4.007
"466","Amphisbaena vanzolinii",-8.647,4.007
"467","Amphisbaena vermicularis",-8.647,4.007
"468","Amphisbaena xera",-8.647,4.007
"469","Anadia altaserrania",-5.178,3.302
"470","Anadia antioquensis",-5.178,3.302
"471","Anadia bitaeniata",-5.178,3.302
"472","Anadia blakei",-5.178,3.302
"473","Anadia bogotensis",-5.178,3.302
"474","Anadia brevifrontalis",-5.178,3.302
"475","Anadia bumanguesa",-5.178,3.302
"476","Anadia escalerae",-5.178,3.302
"477","Anadia hobarti",-5.178,3.302
"478","Anadia marmorata",-5.178,3.302
"479","Anadia ocellata",-5.178,3.302
"480","Anadia pamplonensis",-5.178,3.302
"481","Anadia pariaensis",-5.178,3.302
"482","Anadia petersi",-5.178,3.302
"483","Anadia pulchella",-5.178,3.302
"484","Anadia rhombifera",-5.178,3.302
"485","Anadia steyeri",-5.178,3.302
"486","Anadia vittata",-5.178,3.302
"487","Anatololacerta anatolica",-4.543,2.951
"488","Anatololacerta budaki",-4.543,2.951
"489","Anatololacerta danfordi",-4.543,2.951
"490","Anatololacerta pelasgiana",-4.543,2.951
"491","Ancylocranium barkeri",-8.647,4.007
"492","Ancylocranium ionidesi",-8.647,4.007
"493","Ancylocranium somalicum",-8.647,4.007
"494","Andinosaura afrania",-5.178,3.302
"495","Andinosaura aurea",-5.178,3.302
"496","Andinosaura crypta",-5.178,3.302
"497","Andinosaura hyposticta",-5.178,3.302
"498","Andinosaura kiziriani",-5.178,3.302
"499","Andinosaura laevis",-5.178,3.302
"500","Andinosaura oculata",-5.178,3.302
"501","Andinosaura petrorum",-5.178,3.302
"502","Andinosaura stellae",-5.178,3.302
"503","Andinosaura vespertina",-5.178,3.302
"504","Andinosaura vieta",-5.178,3.302
"505","Anelytropsis papillosus",-4.207,2.3
"506","Anepischetosia maccoyi",-5.125,3.229
"507","Anguis cephallonica",-5.224,2.892
"508","Anguis colchica",-5.224,2.892
"509","Anguis fragilis",-5.224,2.892
"510","Anguis graeca",-5.224,2.892
"511","Anguis veronensis",-5.224,2.892
"512","Anisolepis grilli",-5.296,3.389
"513","Anisolepis longicauda",-5.296,3.389
"514","Anisolepis undulatus",-5.296,3.389
"515","Anniella alexanderae",-4.207,2.3
"516","Anniella campi",-4.207,2.3
"517","Anniella geronimensis",-4.207,2.3
"518","Anniella grinnelli",-4.207,2.3
"519","Anniella pulchra",-4.207,2.3
"520","Anniella stebbinsi",-4.207,2.3
"521","Anolis acutus",-4.574,2.942
"522","Anolis aeneus",-4.574,2.942
"523","Anolis aequatorialis",-4.574,2.942
"524","Anolis agassizi",-4.574,2.942
"525","Anolis agueroi",-4.574,2.942
"526","Anolis ahli",-4.574,2.942
"527","Anolis alayoni",-4.574,2.942
"528","Anolis alfaroi",-4.574,2.942
"529","Anolis aliniger",-4.574,2.942
"530","Anolis allisoni",-4.574,2.942
"531","Anolis allogus",-4.574,2.942
"532","Anolis alocomyos",-4.574,2.942
"533","Anolis altae",-4.574,2.942
"534","Anolis altavelensis",-4.574,2.942
"535","Anolis altitudinalis",-4.574,2.942
"536","Anolis alumina",-4.574,2.942
"537","Anolis alutaceus",-4.574,2.942
"538","Anolis alvarezdeltoroi",-4.574,2.942
"539","Anolis amplisquamosus",-4.574,2.942
"540","Anolis anatoloros",-4.574,2.942
"541","Anolis anchicayae",-4.574,2.942
"542","Anolis anfiloquioi",-4.574,2.942
"543","Anolis angusticeps",-4.574,2.942
"544","Anolis anisolepis",-4.574,2.942
"545","Anolis annectens",-4.574,2.942
"546","Anolis anoriensis",-4.574,2.942
"547","Anolis antioquiae",-4.574,2.942
"548","Anolis antonii",-4.574,2.942
"549","Anolis apletolepis",-4.574,2.942
"550","Anolis apletophallus",-4.574,2.942
"551","Anolis apollinaris",-4.574,2.942
"552","Anolis aquaticus",-4.574,2.942
"553","Anolis argenteolus",-4.574,2.942
"554","Anolis argillaceus",-4.574,2.942
"555","Anolis armouri",-4.574,2.942
"556","Anolis auratus",-4.574,2.942
"557","Anolis aurifer",-4.574,2.942
"558","Anolis bahorucoensis",-4.574,2.942
"559","Anolis baleatus",-4.574,2.942
"560","Anolis baracoae",-4.574,2.942
"561","Anolis barahonae",-4.574,2.942
"562","Anolis barbatus",-4.574,2.942
"563","Anolis barbouri",-4.574,2.942
"564","Anolis barkeri",-4.574,2.942
"565","Anolis bartschi",-4.574,2.942
"566","Anolis beckeri",-4.574,2.942
"567","Anolis bellipeniculus",-4.574,2.942
"568","Anolis benedikti",-4.574,2.942
"569","Anolis bicaorum",-4.574,2.942
"570","Anolis bimaculatus",-4.574,2.942
"571","Anolis binotatus",-4.574,2.942
"572","Anolis biporcatus",-4.574,2.942
"573","Anolis birama",-4.574,2.942
"574","Anolis bitectus",-4.574,2.942
"575","Anolis blanquillanus",-4.574,2.942
"576","Anolis boettgeri",-4.574,2.942
"577","Anolis bombiceps",-4.574,2.942
"578","Anolis bonairensis",-4.574,2.942
"579","Anolis boulengerianus",-4.574,2.942
"580","Anolis brasiliensis",-4.574,2.942
"581","Anolis bremeri",-4.574,2.942
"582","Anolis breslini",-4.574,2.942
"583","Anolis brevirostris",-4.574,2.942
"584","Anolis brooksi",-4.574,2.942
"585","Anolis brunneus",-4.574,2.942
"586","Anolis calimae",-4.574,2.942
"587","Anolis campbelli",-4.574,2.942
"588","Anolis capito",-4.574,2.942
"589","Anolis caquetae",-4.574,2.942
"590","Anolis carlliebi",-4.574,2.942
"591","Anolis carlostoddi",-4.574,2.942
"592","Anolis carolinensis",-4.574,2.942
"593","Anolis carpenteri",-4.574,2.942
"594","Anolis casildae",-4.574,2.942
"595","Anolis caudalis",-4.574,2.942
"596","Anolis centralis",-4.574,2.942
"597","Anolis chamaeleonides",-4.574,2.942
"598","Anolis charlesmyersi",-4.574,2.942
"599","Anolis chloris",-4.574,2.942
"600","Anolis chlorocyanus",-4.574,2.942
"601","Anolis chlorodius",-4.574,2.942
"602","Anolis christophei",-4.574,2.942
"603","Anolis chrysolepis",-4.574,2.942
"604","Anolis chrysops",-4.574,2.942
"605","Anolis clivicola",-4.574,2.942
"606","Anolis cobanensis",-4.574,2.942
"607","Anolis coelestinus",-4.574,2.942
"608","Anolis compressicauda",-4.574,2.942
"609","Anolis concolor",-4.574,2.942
"610","Anolis confusus",-4.574,2.942
"611","Anolis conspersus",-4.574,2.942
"612","Anolis cooki",-4.574,2.942
"613","Anolis crassulus",-4.574,2.942
"614","Anolis cristatellus",-4.574,2.942
"615","Anolis cristifer",-4.574,2.942
"616","Anolis cryptolimifrons",-4.574,2.942
"617","Anolis cupeyalensis",-4.574,2.942
"618","Anolis cupreus",-4.574,2.942
"619","Anolis cuprinus",-4.574,2.942
"620","Anolis cuscoensis",-4.574,2.942
"621","Anolis cusuco",-4.574,2.942
"622","Anolis cuvieri",-4.574,2.942
"623","Anolis cyanopleurus",-4.574,2.942
